user_id,session_id,date,month,channel,campaign_type,device,user_type,region,visited_website,viewed_product,added_to_cart,checkout_started,purchase_completed,discount_applied,order_value,revenue
221958,1,16/08/25,2025-08,Organic,New Launch,Mobile,New,Metro,1,0,0,0,0,0,499.0,0.0
771155,2,16/12/25,2025-12,Organic,Influencer,Mobile,New,Non-Metro,1,1,1,0,0,0,499.0,0.0
231932,3,17/07/25,2025-07,Organic,Influencer,Mobile,New,Non-Metro,1,1,0,0,0,0,499.0,0.0
465838,4,04/07/25,2025-07,Paid Ads,Discount,Mobile,Returning,Metro,1,1,1,1,1,1,2000.95,1800.855
359178,5,10/08/25,2025-08,Paid Ads,Influencer,Mobile,Returning,Non-Metro,1,0,0,0,0,0,499.0,0.0
744167,6,11/11/25,2025-11,Organic,New Launch,Desktop,New,Non-Metro,1,1,1,0,0,0,499.0,0.0
210268,7,19/12/25,2025-12,Organic,Discount,Desktop,New,Metro,1,1,0,0,0,0,499.0,0.0
832180,8,29/11/25,2025-11,Social,Discount,Mobile,Returning,Non-Metro,1,1,0,0,0,0,499.0,0.0
154886,9,23/08/25,2025-08,Paid Ads,Discount,Desktop,Returning,Non-Metro,1,0,0,0,0,0,499.0,0.0
237337,10,13/10/25,2025-10,Social,Discount,Mobile,New,Non-Metro,1,1,1,0,0,0,499.0,0.0
621430,11,29/09/25,2025-09,Organic,New Launch,Mobile,New,Non-Metro,1,1,0,0,0,0,499.0,0.0
187498,12,04/11/25,2025-11,Paid Ads,Discount,Desktop,New,Non-Metro,1,1,1,1,0,0,499.0,0.0
999159,13,31/07/25,2025-07,Social,Discount,Desktop,Returning,Metro,1,1,0,0,0,0,499.0,0.0
275203,14,09/07/25,2025-07,Organic,Discount,Mobile,New,Non-Metro,1,1,0,0,0,0,499.0,0.0
291335,15,22/08/25,2025-08,Organic,Discount,Desktop,New,Metro,1,1,0,0,0,0,499.0,0.0
378167,16,01/11/25,2025-11,Organic,New Launch,Mobile,New,Metro,1,0,0,0,0,0,499.0,0.0
141090,17,02/07/25,2025-07,Organic,Discount,Mobile,New,Non-Metro,1,1,0,0,0,0,499.0,0.0
429365,18,25/11/25,2025-11,Organic,Discount,Desktop,Returning,Metro,1,0,0,0,0,0,499.0,0.0
164820,19,28/10/25,2025-10,Email,New Launch,Mobile,Returning,Metro,1,0,0,0,0,0,499.0,0.0
887201,20,14/10/25,2025-10,Paid Ads,Influencer,Desktop,Returning,Metro,1,1,1,1,0,0,499.0,0.0
421879,21,04/07/25,2025-07,Email,New Launch,Mobile,New,Metro,1,1,1,0,0,0,499.0,0.0
818315,22,19/12/25,2025-12,Organic,New Launch,Mobile,Returning,Non-Metro,1,0,0,0,0,0,499.0,0.0
427069,23,31/08/25,2025-08,Paid Ads,New Launch,Mobile,Returning,Non-Metro,1,1,0,0,0,0,499.0,0.0
876997,24,13/07/25,2025-07,Paid Ads,Discount,Mobile,New,Non-Metro,1,0,0,0,0,0,499.0,0.0
299041,25,21/10/25,2025-10,Organic,Discount,Desktop,Returning,Non-Metro,1,1,0,0,0,0,499.0,0.0
891743,26,25/11/25,2025-11,Paid Ads,Influencer,Mobile,New,Metro,1,0,0,0,0,0,499.0,0.0
203355,27,27/12/25,2025-12,Organic,Discount,Desktop,New,Metro,1,0,0,0,0,0,499.0,0.0
335796,28,11/11/25,2025-11,Organic,Influencer,Desktop,New,Non-Metro,1,1,0,0,0,0,499.0,0.0
314176,29,20/11/25,2025-11,Organic,Discount,Mobile,Returning,Non-Metro,1,0,0,0,0,0,499.0,0.0
284779,30,02/09/25,2025-09,Organic,New Launch,Desktop,New,Metro,1,0,0,0,0,0,499.0,0.0
447449,31,02/10/25,2025-10,Email,New Launch,Mobile,Returning,Metro,1,0,0,0,0,0,499.0,0.0
521909,32,11/12/25,2025-12,Paid Ads,Discount,Mobile,New,Metro,1,0,0,0,0,0,499.0,0.0
358795,33,11/12/25,2025-12,Social,Discount,Mobile,New,Metro,1,1,0,0,0,0,499.0,0.0
586232,34,08/11/25,2025-11,Paid Ads,Discount,Mobile,Returning,Metro,1,1,0,0,0,0,499.0,0.0
600186,35,29/09/25,2025-09,Organic,Discount,Mobile,New,Metro,1,1,0,0,0,0,499.0,0.0
256730,36,31/10/25,2025-10,Organic,Influencer,Mobile,New,Non-Metro,1,1,0,0,0,0,499.0,0.0
970910,37,09/08/25,2025-08,Paid Ads,Discount,Desktop,New,Non-Metro,1,0,0,0,0,0,499.0,0.0
484681,38,13/12/25,2025-12,Email,Discount,Mobile,Returning,Non-Metro,1,0,0,0,0,0,499.0,0.0
249503,39,14/08/25,2025-08,Paid Ads,Discount,Mobile,Returning,Metro,1,1,0,0,0,0,499.0,0.0
754811,40,13/10/25,2025-10,Social,New Launch,Desktop,New,Metro,1,1,0,0,0,0,499.0,0.0
627035,41,28/10/25,2025-10,Paid Ads,Influencer,Desktop,New,Metro,1,1,1,0,0,0,499.0,0.0
